,,,,,,,
,Gross Domestic Product,,,,,,
,"Gross Domestic Product, Real, Domestic Currency",,,,,,
,,,,,,,
,Source: International Financial Statistics (IFS),,,,,,
,,,,,,,
,Country,2017,2018,2019,2020,2021,
,"San Marino, Rep. of","1,194.44","1,204.83","1,229.72","1,147.97",...,
,"São Tomé and Príncipe, Dem. Rep. of","4,077.00","4,201.00","4,294.00","4,424.00","4,507.00",
,Saudi Arabia,"2,655,758.40","2,729,117.00","2,751,830.90","2,632,363.20","2,735,597.20",
,Senegal,"11,877,428.24","12,614,926.39","13,196,932.17","13,374,044.74","14,248,663.63",
,"Serbia, Rep. of","3,582,928.48","3,743,985.41","3,906,164.99","3,870,883.73","4,163,132.05",
,Seychelles,"20,878.10","22,088.26","23,085.97","20,849.42","21,771.43",
,Sierra Leone,"9,374,352.00","9,699,137.00","10,208,752.00","10,007,747.00","10,418,535.00",
,Singapore,"458,967.50","475,771.70","480,984.60","461,056.90","496,161.60",
,Slovak Rep.,"81,587.28","84,875.56","87,014.17","84,077.71","86,612.07",
,"Slovenia, Rep. of","40,152.05","41,940.57","43,387.98","41,513.02","44,921.68",
,Solomon Islands,"10,269.50","10,551.50","10,736.10","10,373.10",...,
,Somalia,"5,609.00","5,816.00","5,973.00","5,956.00","6,131.00",
,South Africa,"4,501,701.60","4,570,232.30","4,584,100.90","4,293,355.60","4,504,292.30",
,"South Sudan, Rep. of","16,260.00","15,918.00","16,055.00","15,009.00","15,809.00",
,Spain,"1,137,256.02","1,163,236.29","1,186,314.50","1,051,959.19","1,110,023.07",
,Sri Lanka,"12,936,611.80","13,235,458.40","13,206,276.30","12,747,715.20","13,171,801.60",
,St. Kitts and Nevis,"2,285.00","2,346.00","2,458.00","2,115.00","2,039.00",
,St. Lucia,"5,417.30","5,575.80","5,572.30","4,437.00","4,979.65",
,St. Vincent and the Grenadines,"2,316.96","2,387.69","2,397.33","2,269.97","2,281.56",
,Sudan,"22,799.00","22,277.00","21,720.00","20,932.00","21,036.00",
,Suriname,"16,915.20","17,752.21","17,959.48","15,090.42","14,678.51",
,Sweden,"4,165,864.24","4,247,099.55","4,331,455.27","4,237,453.45","4,465,675.92",
,Switzerland,"704,881.57","725,044.33","733,324.21","715,903.63","746,127.05",
,"Tajikistan, Rep. of",258.00,277.00,298.00,311.00,340.00,
,"Tanzania, United Rep. of","107,657,404.91","115,141,329.49","123,196,735.92","129,130,182.02","135,517,812.70",
,Thailand,"10,076,576.00","10,476,745.00","10,773,209.00","10,096,741.00","10,056,654.00",
,"Timor-Leste, Dem. Rep. of","1,598.00","1,587.00","1,960.10","2,585.70","2,722.50",
,Togo,"3,729,784.00","3,915,028.00","4,128,960.00","4,201,539.00",...,
,Tonga,"1,017.67","1,020.12","1,027.33","1,032.35","1,004.81",
,Trinidad and Tobago,"155,972.20","154,870.30","154,604.80","143,203.80","142,195.60",
,Tunisia,"97,425.40","104,654.90","114,684.00","112,367.00","124,805.80",
,"Türkiye, Rep of","1,825,221.19","1,879,610.69","1,894,339.51","1,931,090.30","2,150,336.57",
,Turkmenistan,"113,145.51","114,143.00","110,274.49","107,017.26","111,961.06",
