,Country,CountryCode,Year,Population,ConfirmedCases,ConfirmedDeaths,CasesPer1k,DeathsPer1k,PopulationVaccinated,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
41,Barbados,BRB,2022,281.83,105515.0,568.0,374.3923641911791,2.0153993542206297,55.03,34.072931506849315,44.92038356164383,49.32238356164383,14.10958904109589
42,Belarus,BLR,2020,9606.437,194284.0,1424.0,20.22435581475213,0.14823393938876608,0.0,32.61890909090909,34.37698181818182,39.291090909090904,0.0
43,Belarus,BLR,2021,9549.898,699110.0,5578.0,73.20601748835433,0.5840900080817618,33.86,34.249013698630144,37.23120547945205,42.1392602739726,2.8767123287671232
44,Belarus,BLR,2022,9520.011,994037.0,7118.0,104.41553061230707,0.7476882117047974,67.15,10.904575342465753,18.315287671232877,20.933123287671233,0.0
45,Belgium,BEL,2020,11582.16,646496.0,19528.0,55.81825842502607,1.6860412910890543,0.0,61.76112727272728,61.58163636363636,59.60636363636364,75.4090909090909
46,Belgium,BEL,2021,11640.679,2105343.0,28331.0,180.860841536821,2.4337927366608083,75.77,50.114958904109585,62.79980821917808,61.05873972602739,75.0
47,Belgium,BEL,2022,11671.181,4668248.0,33228.0,399.98077315397643,2.84701265450343,78.65,15.462191780821918,35.01597260273972,40.0166301369863,0.0
48,Belize,BLZ,2020,397.415,10776.0,248.0,27.115232188015046,0.6240328120478592,0.0,72.89836363636364,62.837818181818186,64.5886909090909,50.59090909090909
49,Belize,BLZ,2021,402.647,32840.0,602.0,81.56027488097514,1.4951061351506407,49.13,62.03216438356165,63.70449315068493,65.83328767123288,48.8013698630137
50,Belize,BLZ,2022,407.898,69946.0,688.0,171.4791442958779,1.686696183849884,54.59,23.967972602739724,30.675972602739726,35.05904109589041,0.0
51,Benin,BEN,2020,12819.427,3251.0,44.0,0.25359947835421975,0.003432290694428074,0.0,47.19952727272727,47.46221818181819,47.485054545454545,47.31818181818182
52,Benin,BEN,2021,13174.363,24935.0,161.0,1.8926911304933682,0.01222070471263013,9.88,40.46769863013699,47.03032876712329,46.35509589041096,51.74657534246575
53,Benin,BEN,2022,13531.365,27982.0,163.0,2.0679362355534714,0.012046086998613962,20.54,16.435753424657534,26.615068493150684,27.62019178082192,19.589041095890412
54,Bermuda,BMU,2020,64.134,604.0,10.0,9.41778151994262,0.15592353509838774,0.0,54.852290909090904,53.72334545454545,55.40509090909091,41.95454545454545
55,Bermuda,BMU,2021,64.236,6420.0,110.0,99.94395665981692,1.7124353944828443,70.42,49.30435616438356,56.14353424657534,58.50841095890411,39.58904109589041
56,Bermuda,BMU,2022,64.132,18622.0,153.0,290.3698621592964,2.385704484500717,74.22,25.330273972602736,43.09293150684932,40.61690410958904,60.41095890410959
57,Bhutan,BTN,2020,775.008,670.0,0.0,0.8645072050869151,0.0,0.0,78.59443636363636,69.38661818181818,69.03901818181818,71.81818181818181
58,Bhutan,BTN,2021,779.965,2660.0,3.0,3.410409441449296,0.0038463264377247694,72.22,58.23676712328766,66.6894794520548,65.55761643835616,74.62328767123287
59,Bhutan,BTN,2022,784.945,62524.0,21.0,79.65398849600928,0.026753466803406605,86.61,29.010383561643835,43.66298630136986,43.963150684931506,41.57534246575342
60,Bolivia,BOL,2020,12009.978,160124.0,9165.0,13.332580625876252,0.7631154694871215,0.0,83.81730909090909,63.65730909090909,67.99672727272727,33.27272727272727
61,Bolivia,BOL,2021,12148.966,599753.0,19680.0,49.36658807012876,1.6198909438054234,37.58,33.68230136986301,45.28246575342465,43.95358904109589,54.58904109589041
62,Bolivia,BOL,2022,12299.254,1161018.0,22299.0,94.39743255973086,1.8130367906866545,50.4,25.928356164383562,36.13295890410959,41.29449315068493,0.0
63,Bosnia and Herzegovina,BIH,2020,3295.841,110985.0,4050.0,33.67425795115723,1.2288214146252807,0.0,57.09341818181819,47.032545454545456,51.89890909090909,12.954545454545455
64,Bosnia and Herzegovina,BIH,2021,3246.045,291313.0,13442.0,89.74398075196123,4.141039326318643,22.29,38.78657534246575,43.32627397260274,43.09290410958904,44.965753424657535
65,Bosnia and Herzegovina,BIH,2022,3221.008,400992.0,16227.0,124.49270538912043,5.037863923343252,26.17,30.4173698630137,35.05490410958904,40.003068493150685,0.410958904109589
66,Botswana,BWA,2020,2569.263,14805.0,42.0,5.762352861501528,0.016347100316316393,0.0,61.386036363636364,51.603418181818185,52.92978181818182,42.31818181818182
67,Botswana,BWA,2021,2607.583,219509.0,2444.0,84.18102127525758,0.9372664264186413,39.31,50.620164383561644,51.89824657534247,58.027945205479455,8.972602739726028
68,Botswana,BWA,2022,2653.009,328760.0,2794.0,123.91967008027488,1.0531438076538753,54.22,7.908027397260275,20.565616438356162,23.50476712328767,0.0
69,Brazil,BRA,2020,213827.672,7681032.0,195072.0,35.92159952057094,0.9122860393859594,0.0,74.89590976430976,62.77151245791246,65.04765656565657,46.84006734006734
70,Brazil,BRA,2021,214824.774,22291839.0,619334.0,103.76754312330849,2.8829728921302156,79.46,58.43625773718924,53.29136478944698,58.25165296803653,18.569254185692543
71,Brazil,BRA,2022,215802.222,36331281.0,693853.0,168.35452695199774,3.2152263937300884,82.85,38.35858905165767,38.80686969930609,43.339568234387045,7.074016962220509
72,Brunei,BRN,2020,443.557,157.0,3.0,0.3539567631668534,0.006763505028665988,0.0,43.37418181818182,45.685781818181816,43.89494545454546,58.22727272727273
73,Brunei,BRN,2021,447.189,15470.0,98.0,34.593874178479346,0.21914671425281032,89.24,52.792767123287675,54.136876712328764,60.11427397260274,12.32876712328767
74,Brunei,BRN,2022,450.814,266819.0,225.0,591.86050122667,0.4990971886409916,99.32,27.37901369863014,40.65339726027397,46.459452054794525,0.0
75,Bulgaria,BGR,2020,6938.114,202266.0,7576.0,29.152879298322283,1.0919393944809785,0.0,48.40527272727273,46.90378181818182,43.96007272727273,67.5
76,Bulgaria,BGR,2021,6833.621,747108.0,30955.0,109.32827559503227,4.52980930607653,28.24,48.39558904109589,55.910493150684935,53.5025205479452,72.77397260273973
77,Bulgaria,BGR,2022,6730.285,1292104.0,38108.0,191.98354898789577,5.66216735249696,30.59,19.005287671232878,31.663369863013695,31.391424657534248,33.56164383561644
78,Burkina Faso,BFA,2020,21813.359,6707.0,85.0,0.3074721321003336,0.003896694681456441,0.0,37.18189090909091,34.106181818181824,38.98323636363636,0.0
79,Burkina Faso,BFA,2021,22388.008,17632.0,318.0,0.7875644854155849,0.014204032801846416,2.86,19.65,30.559726027397264,31.628931506849312,23.08219178082192
80,Burkina Faso,BFA,2022,22959.516,22006.0,395.0,0.9584696820263982,0.01720419541945048,14.71,10.447534246575342,23.096246575342462,26.39235616438356,0.0
81,Burundi,BDI,2020,12386.556,818.0,2.0,0.06603934136332973,0.00016146538230642964,0.0,13.904036363636363,15.2688,16.468763636363636,6.863636363636363
82,Burundi,BDI,2021,12715.87,27366.0,38.0,2.152113854576997,0.0029883916711951285,0.03,16.0901095890411,18.833287671232878,17.687616438356162,26.84931506849315
83,Burundi,BDI,2022,13063.283,51722.0,38.0,3.959341614202188,0.0029089165411175736,0.22,19.626821917808222,24.801479452054796,27.89687671232877,3.1164383561643834
84,Cambodia,KHM,2020,16497.441,378.0,0.0,0.02291264445194864,0.0,0.0,55.0164,43.058763636363636,44.8292,30.681818181818183
85,Cambodia,KHM,2021,16680.606,120493.0,3012.0,7.223538521322307,0.18056897932844887,81.46,71.35457534246575,61.13572602739726,68.41594520547945,10.17123287671233
86,Cambodia,KHM,2022,16855.079,138584.0,3056.0,8.222091394528615,0.18131033381688688,87.11,20.186465753424656,27.57186301369863,30.514054794520547,6.986301369863014
87,Cameroon,CMR,2020,26845.044,26277.0,448.0,0.9788398931288769,0.01668836899652688,0.0,53.01225454545454,43.613018181818184,47.12872727272727,19.0
88,Cameroon,CMR,2021,27552.212,109367.0,1851.0,3.9694453570551795,0.06718153881800852,2.36,31.259095890410958,28.890931506849316,33.020219178082186,0.0
89,Cameroon,CMR,2022,28276.861,123993.0,1965.0,4.38496338048272,0.06949144744177933,11.15,21.27191780821918,29.82901369863014,33.88487671232877,1.4383561643835616
90,Canada,CAN,2020,38019.178,590249.0,15736.0,15.525033181937811,0.41389637619203656,0.0,65.80587272727273,62.319270129870134,62.06107272727273,64.12337662337663
91,Canada,CAN,2021,38290.846,2223735.0,30320.0,58.07484640062536,0.7918341631835453,85.9,58.35503522504892,60.29037964774952,64.32269080234833,32.06213307240704
