,country,ISO,region,north_south,year,population,GDP,inflation,unemployment,GDP Per Capita
175,"Macedonia, Republic of",MKD,Europe,Global North,2018,2076217,12683070061.4695,1.45831298507127,21.2000007629395,6108.740108316953
176,Malta,MLT,Europe,Global North,2021,518536,17364044943.8202,1.49789217934737,3.39000010490417,33486.67198385493
177,Malta,MLT,Europe,Global North,2020,515332,14933066818.9606,0.638544956776653,4.34999990463257,28977.565567363563
178,Malta,MLT,Europe,Global North,2019,504062,15725847979.4022,1.64206001768947,3.61999988555908,31198.241445302763
179,Malta,MLT,Europe,Global North,2018,484630,15298771846.9532,1.15782362451512,3.66000008583069,31567.942238312113
180,Mauritius,MUS,Africa,Global South,2021,1266060,11529042672.3528,4.02852888157379,8.19999980926514,9106.237202307
181,Mauritius,MUS,Africa,Global South,2020,1265740,11401050654.5624,2.58080077182828,8.63000011444092,9007.419102313588
182,Mauritius,MUS,Africa,Global South,2019,1265711,14436353897.9802,0.405655190309511,6.32999992370605,11405.726819139756
183,Mauritius,MUS,Africa,Global South,2018,1265303,14735695930.9727,3.2160538314458,6.42999982833862,11645.981975046847
184,Mexico,MEX,South/Latin America,Global South,2021,126705138,1272839334119.3,5.68920847683764,4.09000015258789,10045.680500496357
185,Mexico,MEX,South/Latin America,Global South,2020,125998302,1090515389749.41,3.39683415569999,4.44000005722046,8655.000682068001
186,Mexico,MEX,South/Latin America,Global South,2019,125085311,1269011767478.56,3.6359614212705,3.48000001907349,10145.17018292068
187,Mexico,MEX,South/Latin America,Global South,2018,124013861,1222408203104.3,4.89935015356549,3.26999998092651,9857.028829255627
188,Moldova,MDA,Europe,Global North,2021,2615199,13679221333.2052,5.10641129002835,0.790000021457672,5230.661732894973
189,Moldova,MDA,Europe,Global North,2020,2635130,11859730543.5525,3.76597122245352,1.21000003814697,4500.624463898365
190,Moldova,MDA,Europe,Global North,2019,2664224,11971345002.7757,4.83778351428719,1.5,4493.370303238654
191,Moldova,MDA,Europe,Global North,2018,2707203,11457443185.0542,3.04505397337073,1.24000000953674,4232.206888458013
192,Mongolia,MNG,Asia & Pacific,Global South,2021,3347782,15286441818.1437,7.35281243380224,7.75,4566.140154330151
193,Mongolia,MNG,Asia & Pacific,Global South,2020,3294335,13312981594.573,3.79604026111249,6.59000015258789,4041.174195876558
194,Mongolia,MNG,Asia & Pacific,Global South,2019,3232430,14206359006.8095,7.30106953550724,9.27000045776367,4394.947147133736
195,Mongolia,MNG,Asia & Pacific,Global South,2018,3163991,13178094459.4548,6.82424790145521,5.38000011444092,4165.0227385143635
196,Netherlands,NLD,Europe,Global North,2021,17533044,1012846760976.73,2.67572008805381,4.21000003814697,57767.87881081745
197,Netherlands,NLD,Europe,Global North,2020,17441500,909793466661.481,1.2724603778917,3.8199999332428,52162.57011504062
198,Netherlands,NLD,Europe,Global North,2019,17344874,910194347568.626,2.63369910249593,3.38000011444092,52476.273253332714
199,Netherlands,NLD,Europe,Global North,2018,17231624,914043438179.607,1.70349794744475,3.82999992370605,53044.532435225316
200,New Zealand,NZL,Asia & Pacific,Global North,2021,5122600,249885687029.634,3.94112060778728,3.77999997138977,48781.02663288838
201,New Zealand,NZL,Asia & Pacific,Global North,2020,5090200,211734532308.013,1.71456170007244,4.59999990463257,41596.50550234038
202,New Zealand,NZL,Asia & Pacific,Global North,2019,4979200,213434571357.984,1.61963190184049,4.1100001335144,42865.233643553984
