country,date,Fiscal Balance,GDP per capita,GDP,Unemployment Rate,Inflation,Population,CPI,bot,inflation,interest,liquidity,debt
Burundi,2018,,-1.34959593117703,-1.34959593117703,1.68799996376038,-2.8146980766847,11493472,-2.8146980766847,,183.37,14.79,66.89,52.97
Burundi,2019,,-1.12381564727229,-1.12381564727229,1.35399997234344,-0.686772170797229,11874838,-0.686772170797229,...,182.11,14.53,109.90,59.99
Burundi,2020,,-2.58728667995342,-2.58728667995342,1.72300004959106,7.32110643415513,12220227,7.32110643415513,...,195.44,12.20,88.49,65.97
Burundi,2021,,0.115827520453699,0.115827520453699,1.65799999237061,8.4045384507634,12551213,8.4045384507634,...,211.87,12.86,264.41,66.56
Belgium,2018,,42382.3182763247,100660.3,6.27482178479185,1.71018563241381,11427054,105.111369886772,"-1,650.68",,,,
Belgium,2018,,42382.3182763247,100660.3,6.27482178479185,1.71018563241381,11427054,105.111369886772,,115.45,,"17,486.66",84.96
Belgium,2019,,43098.4847198889,102766.9,5.71601501306882,1.98255202813632,11488980,107.20249746042,"3,344.46",117.11,,"17,835.33",82.92
Belgium,2020,,40612.3924560653,101700.6,5.30195503181299,1.41349437615176,11538604,108.708902158024,"8,875.92",117.98,,"19,470.40",94.19
Belgium,2021,,42901.4320595797,101515.6,6.85194204213903,0.252942323092388,11592952,108.986397760214,"6,605.27",120.86,,"28,565.62",90.71
Benin,2018,,1194.43821427144,1.394587,3.86700010299683,0.644803622440778,5.199,89.8363128073025,-821.05,,,,
Benin,2018,,1194.43821427144,1.394587,3.86700010299683,0.644803622440778,5.199,89.8363128073025,,111.51,6.76,,41.08
Benin,2019,,1170.96553298099,1.507767,3.89000010490417,-0.70502663454275,5.13,87.0908933529088,-721.67,110.72,6.69,,41.23
Benin,2020,,1237.94929535039,1.317066,4.46999979019165,3.02272119663756,5.048,90.3430632417186,-435.72,114.07,6.54,,46.14
Benin,2021,,1319.1549945174,,4.32499980926514,1.73353962694033,,89.5924215559712,-771.73,116.04,6.25,,49.94
Burkina Faso,2018,,3.71472140884824,3.71472140884824,7.7810001373291,1.95594302672532,39.3458518981934,1.95594302672532,-655.59,,,,
Burkina Faso,2018,,3.71472140884824,3.71472140884824,7.7810001373291,1.95594302672532,39.3458518981934,1.95594302672532,,111.98,6.76,,37.81
Burkina Faso,2019,,2.7350744438027,2.7350744438027,7.81099987030029,-3.23338933983321,.,-3.23338933983321,-555.48,108.36,6.69,,42.54
