,country,ISO,region,north_south,year,population,GDP,inflation,unemployment,GDP Per Capita
99,Bosnia and Herzegovina,BIH,Europe,Global North,2018,3400129,20183510863.0054,1.41710814018026,18.3999996185303,5936.101501738729
100,Botswana,BWA,Africa,Global South,2021,2588423,17614791265.6824,7.24097765588449,,6805.221273988988
101,Botswana,BWA,Africa,Global South,2020,2546402,14930072458.5814,1.89035916824198,21.0200004577637,5863.203240722164
102,Botswana,BWA,Africa,Global South,2019,2499702,16695928792.5697,2.7728644286333,20.0900001525879,6679.167673814599
103,Botswana,BWA,Africa,Global South,2018,2451409,17031901441.1765,3.2380155894771,,6947.800812176385
104,Brazil,BRA,South/Latin America,Global South,2021,214326223,1608981456325.08,8.30165975585676,13.1599998474121,7507.160970802346
105,Brazil,BRA,South/Latin America,Global South,2020,213196304,1448559976218.19,3.21176803803379,13.6999998092651,6794.489158771673
106,Brazil,BRA,South/Latin America,Global South,2019,211782878,1873274432754.47,3.73297621216894,11.9399995803833,8845.25911841877
107,Brazil,BRA,South/Latin America,Global South,2018,210166592,1916947014067.55,3.66485028376724,12.3299999237061,9121.083402577846
108,British Virgin Islands,VGB,South/Central America,Global North,2021,31122,,,,
109,British Virgin Islands,VGB,South/Central America,Global North,2020,30910,,,,
110,British Virgin Islands,VGB,South/Central America,Global North,2019,30610,,,,
111,British Virgin Islands,VGB,South/Central America,Global North,2018,30335,,,,
112,Brunei Darussalam,BRN,Asia & Pacific,Global South,2021,445373,14006569575.68,1.73341388450597,4.90999984741211,31449.07656207269
113,Brunei Darussalam,BRN,Asia & Pacific,Global South,2020,441725,12005825759.223,1.94031996607178,7.40999984741211,27179.41198533703
114,Brunei Darussalam,BRN,Asia & Pacific,Global South,2019,438048,13469422958.5105,-0.390522069165492,6.59999990463257,30748.737486555125
115,Brunei Darussalam,BRN,Asia & Pacific,Global South,2018,434274,13567351175.0315,1.02505179290213,8.69999980926514,31241.453955409488
116,Bulgaria,BGR,Europe,Global North,2021,6877743,84056312734.3089,3.29774435299511,5.26999998092651,12221.496606417091
117,Bulgaria,BGR,Europe,Global North,2020,6934015,70240275010.1964,1.67244096855762,5.11999988555908,10129.812959763773
118,Bulgaria,BGR,Europe,Global North,2019,6975761,68915875214.6537,3.10372944796774,4.23000001907349,9879.33434282707
119,Bulgaria,BGR,Europe,Global North,2018,7025037,66363537115.2686,2.81454473824833,5.21000003814697,9446.71709419731
