country,date,Unemployment Rate,Population,Fiscal Balance,GDP per capita,GDP,Inflation,bot,interest,liquidity,debt,CPI,inflation
Bolivia,2019,0,0,0,0,0,0,"-1,686.18",8.4,"4,373.78",40.2,0,148.32
Bolivia,2020,0,0,0,0,0,0,-634.88,7.59,"2,662.44",57.83,0,149.71
Bolivia,2021,0,0,0,0,0,0,679.1,8.02,"2,242.41",62.73,0,150.82
"Bolivia, Plurinational State of",2018,6.752999783,.,0,3219.200886,3219.200886,2.272059872,0,0,0,0,2.272059872,0
"Bolivia, Plurinational State of",2019,6.975999832,.,0,3242.948843,3242.948843,1.83954505,0,0,0,0,1.83954505,0
"Bolivia, Plurinational State of",2020,15.3760004,93.85256195,0,2920.197443,2920.197443,0.940742153,0,0,0,0,0.940742153,0
"Bolivia, Plurinational State of",2021,8.451000214,0,0,3061.73861,3061.73861,0.737383721,0,0,0,0,0.737383721,0
Bosnia and Herzegovina,2017,0,0,0,0,0,0,"-2,940.15",4.38,"6,349.27",37.95,0,102.85
Bosnia and Herzegovina,2018,78.90599823,77.09377.093,0,10527.69653,22.42302,1.417108140180261.41710814018026,"-2,963.55",3.79,"6,685.40",34.27,0,104.31
Bosnia and Herzegovina,2019,34.10200119,77.241,0,5476.355762,11.19274,0.562782154,"-2,957.32",3.29,"7,061.49",32.53,0,104.9
Bosnia and Herzegovina,2020,36.89199829,76.225,0,5373.168757,9.153822,-1.051296008,"-2,789.46",3.07,"8,525.57",36.53,0,103.79
Bosnia and Herzegovina,2021,35.33200073,0,0,5862.4583,0,1.981639006,"-2,777.97",3.2,"9,300.31",35.43,0,105.85
Botswana,2017,0,0,0,0,0,0,623.19,6.88,"7,490.51",14.69,0,141.14
Botswana,2018,70.6780014,0,0,3.850642011,3.850642011,3.23801558947713.2380155894771,169.94,6.5,"6,656.91",14.98,186.9072535,145.71
Botswana,2019,35.28499985,0,0,0.812639832,0.812639832,2.772864429,"-1,467.06",6.4,"6,170.22",16.28,92.34706765,149.75
Botswana,2020,41.65399933,0,0,-10.58640464,-10.58640464,1.890359168,"-2,603.33",5.75,"4,940.89",19.71,88.24403986,152.58
Botswana,2021,38.59600067,0,0,9.094721946,9.094721946,7.240977656,"-1,345.94",5.25,"4,801.61",20.16,91.55259967,163.63
Brazil,2017,0,0,0,0,0,0,"15,696.76",46.92,"371,150.62",78.61,0,155.67
Brazil,2018,0,2.10167E+17,-14.06,17107.75237,592769.8,3.664850283767243.66485028376724,"4,045.10",39.08,"371,933.90",80.36,228.7973863,161.37
Brazil,2019,0,211782878,-5.88,8592.221538,299482.2,3.732976212,"-11,934.21",37.48,"353,587.90",82.68,118.7189913,167.4
Brazil,2020,0,213196304,-13.332,8204.202726,295396.1,3.211768038,"7,712.51",29.04,"351,518.55",92.67,123.6954199,172.77
Brazil,2021,0,214326223,-4.417,8537.93922,302822.6,8.301659756,"9,406.38",30.02,"354,623.06",87.75,129.3349391,187.12
Brunei Darussalam,2017,0,0,0,0,0,0,"1,705.23",5.5,"3,299.65",2.83,0,98.41
Brunei Darussalam,2018,62.90599823,97.21411132812597.214111328125,0,62482.90791,54686.76563,1.025051792902131.02505179290213,"1,359.24",5.5,"3,220.62",2.59,0,99.42
Brunei Darussalam,2019,21.51300049,.,0,30748.73749,28401.25586,-0.390522069,"1,021.91",5.5,"4,051.94",2.58,0,99.03
Brunei Darussalam,2020,27.12899971,.,0,27179.41199,0,1.940319966,503.99,5.5,"3,721.32",2.86,0,100.95
Brunei Darussalam,2021,24.26499939,97.58999634,0,31449.07656,0,1.733413885,"1,982.72",5.5,"4,717.08",2.51,0,102.7
Bulgaria,2017,0,0,0,0,0,0,"2,608.88",5.44,"26,692.71",29.59,0,107.94
Bulgaria,2018,25.37000084,74.963414634146474.9634146341464,0,15719.38431,1.32727E+11,2.814544738248332.81454473824833,"1,612.30",4.96,"27,044.89",26.6,5.629089476,110.97
Bulgaria,2019,8.897000313,75.11219512,0,8234.839669,68915875215,3.103729448,"2,198.59",4.55,"25,919.57",24.58,3.103729448,114.42
Bulgaria,2020,14.20499992,73.60731707,0,7956.46909,70240275010,1.672440969,"1,343.92",4.34,"35,377.55",30.13,1.672440969,116.33
Bulgaria,2021,15.84700012,0,0,8633.982291,84056312734,3.297744353,"1,445.73",4.12,"36,798.32",32.85,3.297744353,120.17
Burkina Faso,2017,0,0,0,0,0,0,-898.23,6.51,0,33.34,0,109.83
Burkina Faso,2018,15.56200027,39.345851898193439.3458518981934,0,7.429442818,7.429442818,1.955943026725321.95594302672532,-655.59,6.76,0,37.81,3.911886053,111.98
Burkina Faso,2019,7.81099987,.,0,2.735074444,2.735074444,-3.23338934,-555.48,6.69,0,42.54,-3.23338934,108.36
Burkina Faso,2020,8.607000351,.,0,-0.950502552,-0.950502552,1.884439938,576.82,6.54,0,46.37,1.884439938,110.4
Burkina Faso,2021,8.50399971,46.04000092,0,3.895158291,3.895158291,3.653532872,398.79,6.25,0,52.37,3.653532872,114.43
Burundi,2017,0,0,0,0,0,0,-614.74,14.8,96.15,46.9,0,188.68
Burundi,2018,3.375999928,1.14935E+15,0,-2.699191862,-2.699191862,-5.629396153,-620.19,14.79,66.89,52.97,-5.629396153,183.37
Burundi,2019,1.353999972,11874838,0,-1.123815647,-1.123815647,-0.686772171,...,14.53,109.9,59.99,-0.686772171,182.11
Burundi,2020,1.72300005,12220227,0,-2.58728668,-2.58728668,7.321106434,...,12.2,88.49,65.97,7.321106434,195.44
Burundi,2021,1.657999992,12551213,0,0.11582752,0.11582752,8.404538451,...,12.86,264.41,66.56,8.404538451,211.87
Cabo Verde,2017,0,0,0,0,0,0,-384.09,9.49,617.36,127.22,0,107.94
Cabo Verde,2018,54.20800018,5.71203E+11,0,0,56.35085016,1.256995666905091.25699566690509,-366.36,8.97,606.43,114.59,193.4861895,109.29
Cabo Verde,2019,27.64900017,577030,0,0,28.50029028,1.106666743,-281.31,9.14,737.99,113.98,96.24259001,110.5
Cabo Verde,2020,32.92399979,582640,0,0,33.77874646,0.605795808,-584.43,8.19,674.57,145.13,96.80424015,111.17
Cabo Verde,2021,30.61499977,587925,0,0,29.92784223,1.862152975,-652.11,7.62,711.41,142.3,95.85075116,113.24
Cambodia,2017,0,0,0,0,0,0,"-2,414.81",0,"11,262.00",0,0,124.57
Cambodia,2018,0.810000002,2.4352.435,0,3066.631969,49143507167,2.459085153801332.45908515380133,"-3,448.79",0,"13,373.24",0,0,127.63
Cambodia,2019,0.430999994,2.402,0,1671.385385,27089389787,1.942575008,"-4,443.12",0,"17,033.07",0,0,130.11
Cambodia,2020,0.785000026,2.381,0,1577.911747,25872798012,2.940295143,"-2,800.99",0,"18,563.83",0,0,133.94
Cambodia,2021,0.67900002,0,0,1625.23502,26961061120,2.920734776,"-12,703.98",0,"17,317.63",0,0,137.85
Cameroon,2017,0,0,0,0,0,0,-722.6,0,"3,196.79",29.71,0,114.58
Cameroon,2018,12.86400032,77.071037292480577.0710372924805,0,2890.535533,8.409407513,1.07429945158141.0742994515814,"-1,121.43",0,"3,459.33",33.2,0,115.81
Cameroon,2019,6.494999886,.,0,1454.564064,3.30203117,2.452802141,"-1,354.60",0,...,36.28,0,118.65
Cameroon,2020,7.261000156,78.23000336,0,1419.328204,0.474067068,2.437608822,"-1,088.01",0,...,39.39,0,121.54
Cameroon,2021,7.127999783,0,0,1432.862685,3.827430432,2.271857625,"-1,578.53",0,...,41.02,0,124.3
Canada,2017,0,0,0,0,0,0,"-36,237.67",2.7,"86,677.71",39.26,0,111.98
Canada,2018,11.8,37065084.037065084.0,0.3600.360,89834.96746,1024958,2.2682256724812.268225672481,"-33,732.77",...,"83,925.60",36.16,205.2979249,114.52
Canada,2019,5.7,37601230,0.004,45109.24449,522312.8,1.949269024,"-25,538.10",...,"85,297.11",35.72,103.9300727,116.76
Canada,2020,5.5,38037204,-11.36,42258.69102,519350.8,0.716999632,"-36,829.77",...,"90,428.14",59.45,106.7325015,117.59
Canada,2021,9.2,38246108,-5.039,43936.3081,520170,3.395193185,-877.79,...,"106,615.12",55.55,108.3338894,121.59
Cayman Islands,2017,0,0,0,0,0,0,"1,581.28",0,...,0,0,0
Cayman Islands,2018,0,6488464884,0,170469.6854,11060755070,0,"1,441.23",0,162.07,0,0,0
Cayman Islands,2019,0,66134,0,89871.91314,5943589104,0,"1,462.42",0,183.5,0,0,0
Cayman Islands,2020,0,67311,0,83329.45877,5608989200,0,"1,144.45",0,216.8,0,0,0
Cayman Islands,2021,0,68136,0,86568.76964,5898449688,0,...,0,228.3,0,0,0
Central African Economic and Monetary Community,2017,0,0,0,0,0,0,0,0,0,0,0,0
Central African Economic and Monetary Community,2018,0,0,0,0,0,0,0,0,0,0,0,0
