country,date,Fiscal Balance,GDP per capita,GDP,Unemployment Rate,Inflation,Population,CPI
Dominica,2020-01-01,,6566.36420769493,10.42841,,-0.727116412668306,71995,
Dominica,2021-01-01,,6964.78328182289,,,0.5171721223237,72412,
Denmark,2018-01-01,,56563.4884729669,518425.4,5.4,0.650595548096481,5793636.0,101.0
Denmark,2019-01-01,,57203.0277943447,525636.5,5.1,1.32355587693309,5814422.0,102.3
Denmark,2020-01-01,,55898.7900294456,529455.4,4.7,0.735662269213522,5831404,103.0
Denmark,2021-01-01,,58359.5839945633,530984.8,6.2,0.529926029969938,5856733,103.6
Dominican Republic,2018-01-01,,7894.95501697125,,14.8809995651245,3.56443426013507,10765531,
Dominican Republic,2019-01-01,,8205.14240945814,,15.5780000686646,1.8106037704296,10881882,
Dominican Republic,2020-01-01,,7571.78265216424,,14.8070001602173,3.78103179915516,10999664,
Dominican Republic,2021-01-01,,8410.60565617264,,16.9060001373291,8.24300347981817,11117873,
Algeria,2018-01-01,-4.4258543,4188.22175743517,2.32141335,26.923999786377,4.2699902,3.023,99.54
Algeria,2019-01-01,-5.57936114,4153.00481594021,2.23863163,27.1870002746582,1.95176821,2.988,104.07
Algeria,2020-01-01,-6.73990492,3873.5100150745,2.49305348,31.113000869751,2.41513094,2.942,104.14
Algeria,2021-01-01,-3.78065149,3943.17198337712,1.93527893,29.3409996032715,7.22606307,,92.21
Ecuador,2018-01-01,,5976.24534526558,194042.609375,7.96400022506714,-0.224103246005465,17015672,-0.224103246005465
Ecuador,2019-01-01,,5863.91056629908,194146.828125,8.72999954223633,0.266012515466136,17343740,0.266012515466136
Ecuador,2020-01-01,,5331.97661096757,,11.0790004730225,-0.338872392562274,17588595,-0.338872392562274
Ecuador,2021-01-01,,5492.48927051545,,9.14599990844727,0.133251386096455,17797737,0.133251386096455
Egypt,2018-01-01,-9.55870329,3634.83426919152,35.57064337,26.3229999542236,14.4014657807421,103740765,14.4014657807421
Egypt,2019-01-01,-7.94825539,3768.62751137457,32.44413589,20.7070007324219,9.15279959324812,105618671,9.15279959324812
Egypt,2020-01-01,-6.97709821,3836.09115358719,32.4212482,18.4230003356934,5.04493288977533,107465134,5.04493288977533
Egypt,2021-01-01,-7.24586816,3898.51658195479,31.2069472,17.8169994354248,5.21404940513043,109262178,5.21404940513043
Spain,2018-01-01,-2.595,27739.8647682529,288307.2,16.5,0.57258911142106,46797754,101.864240605421
Spain,2019-01-01,-3.063,28087.8979203438,295213.8,14.3,0.98182492450422,47134837.0,102.86197554015
Spain,2020-01-01,-10.268,24785.446714692,281416.4,13.9,1.09709437495885,47365655,103.990315262472
Spain,2021-01-01,-6.873,26125.8716662745,268950.2,15.8,0.456647671497055,47415750,104.465631046828
Estonia,2018-01-01,,19611.6109936281,288307.18406468,6.3,3.48552607797486,1.67,3.44129554655871
Estonia,2019-01-01,,20269.575137379,295213.84671178,4.3,2.70169456829145,1.66,2.73972602739726
Estonia,2020-01-01,,20118.1050729983,281416.4285145,5.1,1.62644298127707,1.58,1.61904761904761
Estonia,2021-01-01,,21707.2407508041,268950.23549131,7.1,0.223867979813592,,0.234301780693549
Ethiopia,2018-01-01,,6.00659416749285,6.00659416749285,4.89900016784668,13.8330356586661,111129438,140.437730348251
Ethiopia,2019-01-01,,7.31993277810487,7.31993277810487,5.20100021362305,15.8096321719345,114120594,154.833845867281
Ethiopia,2020-01-01,,4.38699650321167,4.38699650321167,6.64699983596802,20.3563468559061,117190911,151.285278865665
Ethiopia,2021-01-01,,3.57216651203457,3.57216651203457,6.13500022888184,26.8395221557722,120283026,140.763999449899
Finland,2018-01-01,,45627.9198947233,50743.7,8.47130630362286,0.783,5515525.0,0.796733393088339
Finland,2019-01-01,,46135.8814242631,50977.8,6.86595518175887,1.098,5521606.0,1.08684912558049
Finland,2020-01-01,,45053.758678116,51203.9,6.90414833526596,0.98,5529543.0,0.98719577753883
Finland,2021-01-01,,46297.2418204236,50698.2,8.11612040034847,0.883,5541017,0.890437475803339
Fiji,2018-01-01,,5708.99261980924,,15.1450004577637,4.08147637644538,918996,4.8490393413
Fiji,2019-01-01,,5679.0507253517,,15.4549999237061,1.7731018246027,918465,-0.872600349
Fiji,2020-01-01,,4703.57670791071,,16.6280002593994,-2.5952432588737,920422,-2.8169014085
Fiji,2021-01-01,,4442.93260413278,,16.4689998626709,0.155855722131493,924610,2.9891304348
France,2018-01-01,-2.289,38259.6977698474,549759.38201908,9.2,1.85081508315494,67158348,101.75
France,2019-01-01,-3.065,38832.0242014303,561406.27797868,8.8,1.10825492288292,67388001,103.01
France,2020-01-01,-8.876,35712.0751986828,532192.71327444,8.2,0.476498852725083,67571107,104.54
France,2021-01-01,-6.430,38045.9021613006,540234.62682889,8.0,1.64233141038392,67749632,105.12
"Micronesia, Federated States of",2018-01-01,,2962.23858125628,0.2116583987,,1.79400375972253,110929,2.4918127404
"Micronesia, Federated States of",2019-01-01,,2984.93012390233,1.2,,1.53907146098899,111379,1.3009441489
"Micronesia, Federated States of",2020-01-01,,2913.21837338295,-1.8183024894,,0.550898203592806,112106,-0.3279715403
